trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.01, 'e': 0.24783303636722875}",25,14,-26.047490312246424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.2441432831534371}",35,15,18.794045916996662,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.24050846320834213}",30,0,-47.180190260292434,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,1,19.401364212984866,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.23340036390115138}",20,0,13.489490789550713,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,10,0.9026613093750449,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.2265023406764688}",30,18,20.886840220611298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,10,29.89031511141562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.21980818484776174}",20,6,-21.81198685004288,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,13,2.6929047294923913,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.21331187122291523}",30,15,12.048180974117498,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,12,13.86705728491135,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.20700755268115265}",30,16,19.29380648770873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.20392561173421347}",25,11,16.223263342103618,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.20088955491023208}",20,11,14.689633889783716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.1978986990836147}",20,15,7.958644339527225,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.1949523712991825}",20,0,5.245074659682398,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.19204990862075413}",25,3,20.01072530500116,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.18919065798198204}",20,13,11.446168263882065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,10,6.62052282223471,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.18359922902771791}",30,12,-38.45508175235935,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,10,20.796769582646586,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.17817305177289844}",20,13,12.10533253166098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,14,13.763888143475315,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.1729072422917164}",30,15,-7.924209213147282,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,14,6.657146026376757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.1677970610001859}",25,0,16.105034062284165,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.16529888822158656}",20,14,10.69871774697934,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.16283790839019696}",20,6,-0.4959575803954044,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.1604135677751728}",20,0,-38.13998129321788,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.1580253208896478}",25,13,9.318592530960753,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.15567263036799733}",25,20,9.243974670018599,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.15335496684492847}",25,11,26.026977635817804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.15107180883637086}",20,6,9.4313904459393,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.14882264262214037}",25,11,21.95296353908265,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.14660696213035015}",20,2,19.080504535500953,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.144424268823542}",20,10,15.951487201029638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.1422740715865136}",25,10,32.809597032049524,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.14015588661581538}",20,14,11.818224911038017,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.13806923731089282}",30,0,-14.480110896893661,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
